Registry,Project_Name,Credit_Type,Methodology,Year,Credits_Issued,Credits_Retired,Credits_Cancelled
Puro Earth,Alcom-01-NuevaEcijaPhilippines,CORC 100+,"Biochar, 2022",2025,132.0,293.0,0
Puro Earth,Aperam BioEnergia,CORC 100+,"Biochar, 2022",2025,16191.0,35624.0,0
Puro Earth,Applied Carbon – Terra,CORC 100+,"Biochar, 2022",2025,1615.0,20.0,0
Puro Earth,Avonmouth Production Facility,CORC 1000+,Carbonated Materials,2025,4714.0,0.0,0
Puro Earth,BBB - AWJ_Newton Rigg (JNR),CORC 100+,"Biochar, 2022",2025,177.0,0.0,0
Puro Earth,BBB - Ahlstrom_Radcliffe,CORC 100+,"Biochar, 2022",2025,99.0,0.0,0
Puro Earth,Bio-Logical Mt Kenya Biochar Project,CORC 100+,"Biochar, 2022",2025,710.0,0.0,0
Puro Earth,BioLesna Carrot River,CORC 100+,"Biochar, 2022",2025,100.0,0.0,0
Puro Earth,Brodie Biomass,CORC 100+,"Biochar, 2022",2025,1416.0,250.0,0
Puro Earth,Bussme-01-Munka-Ljungby,CORC 100+,"Biochar, 2022",2025,13.0,0.0,0
Puro Earth,Bussme-01-Svedala,CORC 100+,"Biochar, 2022",2025,205.0,81.0,0
Puro Earth,Carbofex Nokia 1,CORC 100+,"Biochar, 2022",2025,221.0,55.0,0
Puro Earth,"Carbon Cycle, 001, Rieden, DE",CORC 100+,"Biochar, 2022",2025,855.0,708.0,0
Puro Earth,Carbon Hill,CORC 100+,"Biochar, 2022",2025,361.0,0.0,0
Puro Earth,Carbonchip Mobile Carboniser #1,CORC 100+,"Biochar, 2022",2025,579.0,0.0,0
Puro Earth,Carbonity Biochar Production Canada,CORC 100+,"Biochar, 2022",2025,170.0,0.0,0
Puro Earth,ECOERA Millennium 1 Hammenhög Skånefrö,CORC 100+,"Biochar, 2022",2025,113.0,340.0,0
Puro Earth,EUTHENIA ENERGY CENTER,CORC 100+,"Biochar, 2022",2025,4520.0,2198.0,0
Puro Earth,Eion - Twinterstellar 3021,CORC 1000+,"Enhanced Rock Weathering, 2022",2025,748.0,748.0,0
Puro Earth,Enhanced Rock Weathering - Smallholder farmers in India,CORC 1000+,"Enhanced Rock Weathering, 2022",2025,77.0,0.0,0
Puro Earth,"Exomad Green, Concepción",CORC 100+,"Biochar, 2022",2025,102458.0,53588.0,0
Puro Earth,"Exomad Green, Riberalta",CORC 100+,"Biochar, 2022",2025,73734.0,17271.0,0
Puro Earth,"Explocom 1, Lupeni",CORC 100+,"Biochar, 2022",2025,155.0,0.0,0
Puro Earth,Farm Gai Kaisa 159,CORC 100+,"Biochar, 2022",2025,8416.0,7227.0,0
Puro Earth,Fasera Biochar Plant 1,CORC 100+,"Biochar, 2022",2025,142.0,271.0,0
Puro Earth,Fasera TSB Facility 1,CORC 100+,Terrestrial Storage of Biomass,2025,2169.0,2.0,0
Puro Earth,"Freres Lumber Co., Inc.",CORC 100+,"Biochar, 2022",2025,4026.0,1907.0,0
